Projekt-Nummer: 20250999
Projektname: Musterstraﬂe
Versuchs-Nummer: CPTU 1
Kundenname: -
Ort: Musterhausen
Datum: 29.03.2025
Konus-Nummer: xxxxxx.Sxxxxx
Gel‰ndekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        qt        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [∞]       [%]       [MPa]               [kPa]     [kPa]                                   [∞]       

0,64      2,29      0,107     0,142     1,3       4,55      2,318     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,65      2,32      0,107     0,144     1,3       4,52      2,349     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,66      2,34      0,107     0,146     1,4       4,50      2,373     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,67      2,37      0,107     0,147     1,5       4,48      2,400     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,68      2,41      0,107     0,149     1,3       4,46      2,439     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,69      2,44      0,107     0,151     1,4       4,44      2,475     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,70      2,46      0,107     0,152     1,4       4,41      2,490     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,71      2,46      0,107     0,153     1,3       4,39      2,487     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,72      2,46      0,107     0,153     1,3       4,36      2,495     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,73      2,46      0,108     0,155     1,4       4,33      2,493     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,74      2,47      0,108     0,155     1,4       4,32      2,502     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,75      2,48      0,109     0,156     1,4       4,34      2,511     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,76      2,50      0,111     0,157     1,4       4,36      2,530     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,77      2,55      0,111     0,159     1,4       4,36      2,585     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,78      2,59      0,112     0,161     1,3       4,37      2,624     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,79      2,65      0,112     0,164     1,4       4,36      2,679     1,96      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,80      2,65      0,112     0,164     1,4       4,34      2,679     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,81      2,64      0,112     0,164     1,4       4,32      2,677     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,82      2,64      0,115     0,165     1,4       4,39      2,676     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,83      2,64      0,116     0,165     1,4       4,39      2,676     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,84      2,64      0,116     0,166     1,4       4,37      2,677     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,85      2,64      0,117     0,166     1,4       4,38      2,677     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,86      2,64      0,118     0,167     1,4       4,37      2,677     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,87      2,65      0,118     0,167     1,4       4,35      2,680     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,88      2,67      0,118     0,169     1,4       4,32      2,707     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,89      2,70      0,118     0,170     1,4       4,27      2,739     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,90      2,72      0,118     0,170     1,4       4,22      2,758     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,91      2,73      0,118     0,171     1,3       4,15      2,762     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,92      2,76      0,118     0,173     1,4       4,08      2,790     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,93      2,80      0,118     0,176     1,4       4,02      2,837     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,94      2,85      0,119     0,178     1,4       3,96      2,884     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,95      2,90      0,119     0,180     1,4       3,93      2,935     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,96      2,96      0,121     0,184     1,4       3,91      2,998     1,96      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,97      3,08      0,121     0,190     1,5       3,87      3,115     1,95      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,98      3,19      0,122     0,198     1,4       3,85      3,233     1,93      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,99      3,30      0,122     0,206     1,4       3,80      3,340     1,91      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,00      3,59      0,123     0,225     1,4       3,81      3,635     1,87      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
